location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
ind,mkt,monthly,vw,na,3435,na,31-07-2019,-0.068010568
ind,mkt,monthly,vw,na,3434,na,31-08-2019,-0.041900611
ind,mkt,monthly,vw,na,3422,na,30-09-2019,0.054437276
ind,mkt,monthly,vw,na,3495,na,31-10-2019,0.038937292
ind,mkt,monthly,vw,na,3540,na,30-11-2019,-0.008643609
ind,mkt,monthly,vw,na,3569,na,31-12-2019,0.009106657
ind,mkt,monthly,vw,na,3535,na,31-01-2020,-0.002724328
ind,mkt,monthly,vw,na,3477,na,29-02-2020,-0.075047244
ind,mkt,monthly,vw,na,3407,na,31-03-2020,-0.257740235
ind,mkt,monthly,vw,na,3281,na,30-04-2020,0.140411217
ind,mkt,monthly,vw,na,3267,na,31-05-2020,-0.022691095
ind,mkt,monthly,vw,na,3331,na,30-06-2020,0.096186201
ind,mkt,monthly,vw,na,3508,na,31-07-2020,0.068521305
ind,mkt,monthly,vw,na,3563,na,31-08-2020,0.060160423
ind,mkt,monthly,vw,na,3562,na,30-09-2020,0.001737401
ind,mkt,monthly,vw,na,3544,na,31-10-2020,0.003317698
ind,mkt,monthly,vw,na,3533,na,30-11-2020,0.114168434
ind,mkt,monthly,vw,na,3583,na,31-12-2020,0.092646032
ind,mkt,monthly,vw,na,3670,na,31-01-2021,-0.01039726
ind,mkt,monthly,vw,na,3678,na,28-02-2021,0.063018372
ind,mkt,monthly,vw,na,3708,na,31-03-2021,0.028424585
ind,mkt,monthly,vw,na,3725,na,30-04-2021,0.00019144
ind,mkt,monthly,vw,na,3719,na,31-05-2021,0.099143972
ind,mkt,monthly,vw,na,3798,na,30-06-2021,0.004649424
ind,mkt,monthly,vw,na,3824,na,31-07-2021,0.019423425
ind,mkt,monthly,vw,na,3817,na,31-08-2021,0.078492297
ind,mkt,monthly,vw,na,3803,na,30-09-2021,0.02284951
ind,mkt,monthly,vw,na,3834,na,31-10-2021,-0.013169488
ind,mkt,monthly,vw,na,3841,na,30-11-2021,-0.020922584
ind,mkt,monthly,vw,na,3862,na,31-12-2021,0.035700535
ind,mkt,monthly,vw,na,3893,na,31-01-2022,-0.008511138
ind,mkt,monthly,vw,na,3896,na,28-02-2022,-0.056793075
ind,mkt,monthly,vw,na,3886,na,31-03-2022,0.038519578
ind,mkt,monthly,vw,na,3905,na,30-04-2022,0.003298656
ind,mkt,monthly,vw,na,3892,na,31-05-2022,-0.069027674
ind,mkt,monthly,vw,na,3893,na,30-06-2022,-0.070670983
ind,mkt,monthly,vw,na,3890,na,31-07-2022,0.090265386
